antecedent,consequent,support,confidence,lift
{18},{35},0.705,0.218,0.985
{35},{18},0.222,0.694,0.985
{18},{42},0.705,0.318,1.002
{42},{18},0.317,0.707,1.002
{18},{46},0.705,0.398,1.068
{46},{18},0.372,0.753,1.068
{32},{18},0.413,0.736,1.043
{18},{32},0.705,0.431,1.043
{18},{37},0.705,0.237,1.018
{37},{18},0.233,0.718,1.018
{18},{39},0.705,0.324,1.026
{39},{18},0.316,0.723,1.026
{18},{43},0.705,0.224,1.077
{43},{18},0.208,0.759,1.077
{18},{47},0.705,0.204,0.989
{47},{18},0.206,0.697,0.989
{18},{5},0.705,0.236,1.041
{5},{18},0.227,0.734,1.041
{33},{18},0.169,0.708,1.004
{18},{33},0.705,0.169,1.004
{18},{29},0.705,0.3,1.071
{29},{18},0.28,0.755,1.071
{18},{38},0.705,0.279,1.038
{38},{18},0.269,0.732,1.038
{18},{10},0.705,0.142,1.012
{10},{18},0.141,0.713,1.012
{19},{20},0.54,0.29,1.072
{20},{19},0.271,0.578,1.072
{19},{21},0.54,0.323,1.055
{21},{19},0.307,0.569,1.055
{24},{19},0.213,0.549,1.018
{19},{24},0.54,0.216,1.018
{19},{28},0.54,0.352,1.028
{28},{19},0.342,0.555,1.028
{19},{30},0.54,0.586,1.041
{30},{19},0.563,0.562,1.041
{34},{19},0.641,0.561,1.041
{19},{34},0.54,0.667,1.041
{19},{44},0.54,0.394,1.056
{44},{19},0.373,0.57,1.056
{48},{19},0.479,0.559,1.036
{19},{48},0.54,0.496,1.036
{49},{19},0.389,0.564,1.045
{19},{49},0.54,0.406,1.045
{3},{19},0.238,0.574,1.064
{19},{3},0.54,0.254,1.064
{19},{15},0.54,0.323,1.059
{15},{19},0.305,0.572,1.059
{16},{19},0.513,0.558,1.034
{19},{16},0.54,0.531,1.034
{26},{19},0.412,0.564,1.045
{19},{26},0.54,0.431,1.045
{41},{19},0.207,0.594,1.1
{19},{41},0.54,0.228,1.1
{2},{19},0.273,0.575,1.066
{19},{2},0.54,0.291,1.066
{19},{12},0.54,0.378,1.034
{12},{19},0.365,0.558,1.034
{35},{19},0.222,0.539,0.999
{19},{35},0.54,0.221,0.999
{42},{19},0.317,0.551,1.021
{19},{42},0.54,0.324,1.021
{19},{46},0.54,0.382,1.025
{46},{19},0.372,0.553,1.025
{32},{19},0.413,0.547,1.014
{19},{32},0.54,0.419,1.014
{19},{37},0.54,0.245,1.052
{37},{19},0.233,0.567,1.052
{19},{39},0.54,0.33,1.043
{39},{19},0.316,0.563,1.043
{43},{19},0.208,0.551,1.02
{19},{43},0.54,0.212,1.02
{19},{47},0.54,0.211,1.023
{47},{19},0.206,0.552,1.023
{19},{5},0.54,0.221,0.973
